525,524,524,524,525,525,525,524,525,525,524,524,524,524,524,525,523,523,522,521,521,520,521,521,521,520,521,520,521,520,521,520,520,520,521,520,521,520,521,520,521,520,520,520,521,520,520,520,520,520,519,519,519,518,518,519,520,520,520,520
519,519,518,518,517,517,516,516,516,516,513,514,514,514,514,516,517,517,517,516,518,518,518,518,518,519,517,518,517,518,519,518,518,518,518,517,517,518,517,518,519,518,518,518,518,517,520,520,521,521,522,522,522,522,522,523,523,523,523,522
522,522,522,521,522,522,523,523,523,522,522,521,521,520,520,520,519,519,519,518,520,520,521,521,522,522,522,521,521,521,522,522,522,521,523,523,522,521,521,521,522,522,522,521,523,523,522,522,522,521,521,522,522,522,522,522,522,520,521,521
521,522,522,523,524,525,524,524,525,526,525,528,528,529,529,529,530,530,531,531,532,533,533,534,534,534,534,533,534,534,533,532,532,532,531,530,534,533,534,534,533,532,532,532,531,530,522,523,522,521,521,521,520,521,520,520,518,519,518,518
518,517,516,514,514,513,513,513,513,516,516,516,516,516,516,516,516,516,517,516,517,517,516,517,517,518,519,520,521,522,524,525,526,526,526,526,519,520,521,522,524,525,526,526,526,526,550,552,554,555,555,555,555,555,556,555,556,555,554,554
553,553,553,552,550,549,548,546,546,545,545,543,542,541,541,538,537,536,535,534,535,535,534,534,534,534,533,531,530,529,526,524,524,522,521,521,533,531,530,529,526,524,524,522,521,521,545,547,549,550,552,553,554,555,556,557,559,558,557,559
558,559,559,560,560,559,559,559,558,557,558,557,556,555,555,554,554,554,553,554,554,554,554,554,554,554,555,555,555,555,555,554,554,553,553,552,555,555,555,555,555,554,554,553,553,552,545,544,544,544,544,544,543,543,544,545,544,545,545,545
545,545,546,546,546,546,545,545,545,545,544,542,541,537,533,529,523,518,512,506,499,494,487,481,474,466,461,453,448,442,436,429,427,421,413,409,461,453,448,442,436,429,427,421,413,409,306,300,296,290,284,279,274,272,271,269,270,269,271,271
274,280,283,289,293,297,304,308,315,320,327,333,340,348,354,362,370,380,392,403,415,432,445,458,471,484,498,514,529,544,559,573,580,594,606,618,498,514,529,544,559,573,580,594,606,618,670,670,670,670,670,670,670,670,670,670,670,670,670,670
670,670,670,670,670,672,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,672,672,670,670,670,670,670,670,670,670,672,672,670,670,561,553,544,534,525,517,508,501,494,486,480,473,466,461
456,448,445,439,435,432,428,426,424,423,425,427,429,433,436,440,445,447,450,453,454,456,456,456,454,453,450,449,448,448,446,445,442,441,439,439,450,449,448,448,446,445,442,441,439,439,514,524,535,546,556,567,576,585,594,604,612,618,625,629
633,637,638,638,638,634,631,626,620,613,605,597,588,579,570,561,552,543,534,526,520,513,507,501,497,494,492,488,488,489,490,493,494,496,498,501,492,488,488,489,490,493,494,496,498,501,663,670,670,670,670,670,670,670,670,670,670,670,670,670
670,670,670,670,670,672,670,670,670,670,670,670,670,670,670,670,672,670,670,670,670,670,670,670,670,670,670,670,670,670,672,670,672,670,670,670,670,670,670,670,672,670,672,670,670,670,449,436,418,404,390,375,360,343,327,307,291,272,253,233
214,196,177,159,136,117,100,80,61,43,25,7,7,7,7,7,7,6,7,7,7,7,7,7,7,8,6,7,8,7,7,6,7,7,7,7,6,7,8,7,7,6,7,7,7,7,169,190,214,235,256,277,298,319,339,358,377,394,412,430
448,463,476,489,502,514,526,538,549,559,568,576,583,589,593,596,598,601,603,604,603,603,603,601,601,600,600,598,598,600,602,603,605,606,607,608,600,598,598,600,602,603,605,606,607,608,651,652,653,654,656,656,656,656,656,657,655,654,653,652
650,649,646,645,644,641,639,637,633,632,630,627,626,625,625,621,621,619,618,617,616,616,615,616,618,617,619,620,622,625,628,630,632,633,634,637,619,620,622,625,628,630,632,633,634,637,652,651,650,649,645,645,643,640,637,636,633,630,627,625
624,621,618,617,616,613,612,609,608,607,606,605,604,602,600,600,598,597,597,597,596,596,596,597,597,596,597,597,598,598,598,598,600,598,598,598,597,597,598,598,598,598,600,598,598,598,586,586,586,586,585,585,586,588,586,588,588,589,589,589
588,589,589,586,586,586,586,586,586,586,586,586,586,588,588,589,589,588,589,588,589,588,588,588,588,588,588,588,586,588,586,588,586,585,585,584,588,588,586,588,586,588,586,585,585,584,574,573,573,573,574,573,573,572,572,572,571,570,570,569
568,568,568,568,567,568,568,568,567,568,568,568,569,570,570,571,571,571,572,571,569,569,569,568,569,568,568,567,566,567,565,565,565,564,564,562,568,567,566,567,565,565,565,564,564,562,550,550,549,550,549,549,546,546,545,545,544,542,541,540
537,535,534,532,532,530,528,526,525,524,523,522,521,520,519,517,516,514,514,513,513,513,514,513,512,512,511,511,509,509,508,508,508,507,507,506,511,511,509,509,508,508,508,507,507,506,502,502,501,501,501,502,500,500,499,498,499,498,498,498
499,498,498,497,496,496,495,494,494,494,493,492,492,490,492,492,492,492,493,493,494,494,494,494,494,494,494,493,494,494,495,495,495,495,495,495,494,493,494,494,495,495,495,495,495,495,501,502,501,500,500,500,499,499,500,500,501,501,500,501
501,501,500,501,500,500,500,501,501,504,504,505,506,508,507,508,509,508,509,510,511,511,511,511,512,512,513,513,513,514,514,514,514,514,513,512,513,513,513,514,514,514,514,514,513,512,518,519,520,520,522,522,522,522,522,522,522,522,522,521
