570,570,569,569,568,568,567,566,566,566,566,566,566,566,566,566,566,566,566,565,565,566,565,565,565,564,562,561,561,560,559,558,558,555,555,554,562,561,561,560,559,558,558,555,555,554,538,538,537,536,535,535,534,534,533,533,532,532,531,532
531,532,532,532,532,533,532,532,530,529,529,528,526,525,525,524,523,522,520,521,521,521,521,521,520,519,519,520,520,520,520,519,519,519,518,517,519,520,520,520,520,519,519,519,518,517,510,511,511,510,510,511,510,510,510,511,509,509,510,509
508,506,506,506,506,506,507,507,506,507,506,506,506,506,506,505,505,505,505,506,505,506,506,506,506,507,506,502,499,506,510,511,511,510,508,508,506,502,499,506,510,511,511,510,508,508,512,512,512,513,514,513,514,514,516,516,516,514,514,514
514,514,513,512,511,511,509,509,509,509,508,508,508,508,508,507,507,506,507,506,506,505,504,504,504,504,504,502,502,504,505,504,504,504,504,504,504,502,502,504,505,504,504,504,504,504,496,497,497,498,498,497,496,495,495,493,493,493,492,492
492,490,489,489,488,488,488,487,486,486,486,485,486,485,486,486,487,487,487,487,487,487,487,488,489,489,489,490,489,493,492,492,492,492,493,493,489,490,489,493,492,492,492,492,493,493,504,504,504,504,505,505,506,506,506,507,506,507,507,507
507,508,508,510,511,512,513,514,516,518,520,520,521,522,525,526,530,533,534,536,538,541,544,546,549,552,554,555,558,559,560,560,561,560,559,556,554,555,558,559,560,560,561,560,559,556,508,508,509,508,508,510,511,514,520,525,532,540,546,554
561,569,579,589,600,608,620,632,641,652,663,670,670,672,670,670,670,672,672,670,670,670,670,672,670,670,670,670,670,670,670,670,672,670,666,656,670,670,670,670,670,670,672,670,666,656,199,189,184,183,186,195,206,222,241,264,292,320,354,389
432,473,514,557,598,639,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,660,642,620,670,670,670,670,670,670,670,660,642,620,337,336,338,339,343,346,352,357,364,373,381,392,404,423
438,456,473,493,512,533,556,579,604,627,651,670,672,670,670,670,670,670,670,670,670,670,670,670,672,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,399,376,353,333,315,296,281,267,256,246,240,235,232,231
231,233,235,238,247,255,264,273,285,297,309,324,337,350,366,381,398,415,436,453,470,486,504,520,535,550,566,580,594,607,620,633,640,651,663,670,566,580,594,607,620,633,640,651,663,670,670,670,670,672,670,670,670,670,670,672,670,670,670,670
670,670,670,670,670,670,672,670,670,670,672,670,672,670,670,670,670,672,670,670,670,670,670,665,656,645,634,621,607,595,581,568,562,550,540,526,634,621,607,595,581,568,562,550,540,526,364,355,348,342,336,329,324,317,314,308,304,301,296,292
290,288,285,282,281,278,277,274,273,274,274,276,277,278,280,282,285,289,290,293,296,300,304,306,312,318,322,328,332,340,345,350,353,358,364,367,322,328,332,340,345,350,353,358,364,367,454,459,465,471,477,484,492,497,502,509,514,521,526,532
537,542,548,554,558,564,570,576,580,585,589,594,598,602,606,609,615,617,620,625,628,632,636,640,643,645,649,652,654,656,658,662,663,665,665,666,649,652,654,656,658,662,663,665,665,666,670,670,672,672,670,670,670,670,670,670,670,669,669,669
668,668,668,668,666,666,665,664,663,662,662,661,658,657,656,654,653,650,646,645,643,640,637,634,632,631,629,627,625,621,618,614,613,608,607,604,629,627,625,621,618,614,613,608,607,604,567,566,565,564,562,561,559,559,557,555,555,553,553,550
549,547,546,546,545,544,544,543,542,542,541,541,541,540,538,536,535,534,534,533,532,532,530,529,529,526,526,525,525,524,523,522,523,521,521,520,526,525,525,524,523,522,523,521,521,520,506,506,505,505,505,505,505,505,505,505,505,504,504,502
502,502,502,502,502,504,502,502,500,499,497,496,495,494,493,493,493,492,490,488,487,487,486,487,487,487,487,487,487,487,486,486,486,485,484,483,487,487,487,487,486,486,486,485,484,483,485,485,485,485,486,486,487,487,488,489,492,493,493,493
493,493,492,489,489,489,492,492,493,493,494,493,493,494,495,495,495,495,496,495,495,495,494,495,495,496,497,497,497,497,497,498,498,498,498,498,497,497,497,497,497,498,498,498,498,498,502,504,505,505,504,504,505,505,506,505,506,506,507,507
507,507,508,508,508,507,507,506,506,506,507,506,507,507,508,507,508,508,508,508,508,508,509,509,508,510,510,510,511,511,511,511,512,511,511,511,510,510,511,511,511,511,512,511,511,511,522,523,523,523,524,525,524,524,524,525,525,525,525,525
525,526,525,526,526,528,528,528,529,529,529,529,528,529,529,532,532,532,532,532,531,532,532,532,532,533,533,533,534,533,534,533,533,532,532,531,533,533,534,533,534,533,533,532,532,531,531,531,531,531,529,530,530,531,531,531,531,530,530,529
530,530,530,530,529,529,526,526,526,526,528,526,526,526,528,526,525,525,525,525,525,525,524,524,524,524,524,525,524,525,525,526,526,526,525,525,524,525,524,525,525,526,526,526,525,525,529,530,530,530,530,530,531,531,532,531,531,530,530,529
529,529,526,528,528,526,526,526,526,526,526,528,528,528,529,528,528,528,529,530,530,530,529,530,530,531,531,532,532,532,532,533,533,534,534,533,531,532,532,532,532,533,533,534,534,533,533,534,534,534,532,533,533,533,532,532,532,532,532,531
531,532,532,532,530,532,531,532,532,532,532,532,532,531,530,531,531,530,530,529,530,530,531,530,531,532,531,531,531,531,531,529,530,528,528,526,531,531,531,531,531,529,530,528,528,526,526,526,526,526,528,526,526,526,526,526,526,526,526,526
