883,893,877,892,879,887,883,888,886,887,884,883,888,878,898,881,880,882,885,882,880,884,867,890,864,881,882,888,878,881,868,904,869,890,864,881,882,888,878,881,868,904,869,882,880,878,881,890,887,881,881,879,877,882,881,882,880,877,879,899
885,881,881,877,880,885,864,887,896,870,879,882,881,882,885,894,884,884,875,885,883,882,880,881,897,857,910,870,882,882,882,890,868,881,897,857,910,870,882,882,882,890,868,897,883,878,880,885,879,912,860,874,864,895,881,877,881,879,883,884
900,888,883,880,881,884,883,889,880,893,881,878,881,873,880,883,868,800,763,687,687,668,654,656,664,662,652,657,652,648,644,640,648,656,664,662,652,657,652,648,644,640,648,880,865,909,873,880,886,889,882,884,889,894,888,884,883,892,884,887
882,866,878,885,874,879,856,872,858,848,848,834,806,799,828,806,831,853,864,879,884,885,894,895,878,882,885,880,884,881,882,878,879,895,878,882,885,880,884,881,882,878,879,882,882,885,885,862,885,878,882,903,875,880,883,875,893,870,871,894
864,875,882,880,876,881,892,884,887,854,883,883,881,880,882,885,875,890,879,874,881,885,882,878,881,874,884,873,884,875,881,881,884,878,881,874,884,873,884,875,881,881,884,881,876,876,849,830,785,741,703,677,628,634,623,615,598,572,553,523
500,458,460,432,420,391,378,360,345,339,323,314,297,301,296,299,284,284,282,275,275,264,263,249,259,249,251,250,245,244,258,222,264,249,259,249,251,250,245,244,258,222,264,414,419,443,444,464,495,482,527,539,541,524,533,525,539,534,562,556
577,578,586,590,598,592,614,623,616,638,638,637,646,647,658,650,666,666,677,677,681,686,686,701,699,694,715,737,748,758,793,832,856,701,699,694,715,737,748,758,793,832,856,888,886,882,874,881,882,879,869,880,877,882,876,884,880,883,884,884
890,869,879,878,888,886,876,880,883,887,872,884,886,888,879,883,884,884,894,884,876,878,882,891,883,882,887,882,882,892,888,883,885,891,883,882,887,882,882,892,888,883,885,877,864,882,894,878,885,884,881,878,883,900,866,878,875,866,871,878
883,866,882,868,886,885,886,866,873,874,863,860,848,842,837,848,815,831,822,810,803,774,759,724,715,707,671,692,698,688,701,692,700,724,715,707,671,692,698,688,701,692,700,719,719,724,721,724,729,756,746,772,742,737,718,699,702,675,692,680
683,685,694,684,679,688,678,691,691,700,687,683,688,689,690,684,685,690,678,680,665,686,681,683,676,691,687,700,677,682,679,685,677,683,676,691,687,700,677,682,679,685,677,652,670,644,667,673,677,672,688,678,667,646,661,656,665,669,671,669
664,669,668,658,663,679,670,661,675,666,679,661,689,666,668,674,666,669,664,672,664,656,656,683,677,666,667,663,670,663,656,658,662,683,677,666,667,663,670,663,656,658,662,644,649,647,668,651,647,652,657,656,637,646,640,640,622,654,632,637
633,637,645,631,649,629,643,618,648,638,647,640,643,647,631,662,657,662,642,647,650,645,653,648,647,647,646,649,644,646,654,652,663,648,647,647,646,649,644,646,654,652,663,654,660,662,668,670,657,658,663,658,661,651,657,658,655,652,662,641
649,645,659,640,657,652,654,663,654,679,646,682,664,660,655,669,661,657,665,655,661,670,658,682,678,672,668,675,673,663,673,673,665,682,678,672,668,675,673,663,673,673,665,695,657,673,662,683,684,678,687,675,678,669,677,657,671,681,655,669
