532,532,540,541,541,542,542,542,543,542,542,541,541,540,540,538,540,540,540,538,538,537,536,536,535,534,534,534,534,534,534,534,533,533,533,532,532,532,532,531,529,529,529,529,529,528,528,528,528,528,528,528,529,529,529,528,528,528,528,528
528,528,533,534,533,532,532,533,534,533,534,534,534,534,534,533,534,534,533,532,533,532,532,532,532,532,532,531,531,531,530,531,530,531,532,533,533,533,533,533,534,534,534,534,535,536,536,536,536,535,535,535,534,534,535,536,536,536,536,535
535,535,532,532,532,532,532,533,532,532,532,531,532,532,532,532,531,532,532,532,532,532,531,532,530,530,529,529,530,531,532,532,532,533,533,533,533,532,532,532,532,532,532,532,532,533,534,533,534,533,533,532,532,532,532,533,534,533,534,533
533,532,533,534,535,536,537,537,538,540,541,542,543,544,544,545,545,548,549,549,549,550,550,552,553,553,554,554,555,557,558,559,559,559,559,559,560,561,561,565,566,566,567,568,570,570,571,572,572,573,574,574,567,568,570,570,571,572,572,573
574,574,597,597,597,597,597,597,597,596,595,594,592,590,588,586,584,583,580,577,573,571,568,566,561,560,557,553,549,544,540,534,531,525,522,518,513,509,506,500,495,489,485,481,476,473,468,462,461,458,451,446,485,481,476,473,468,462,461,458
451,446,374,368,365,362,361,357,356,355,354,354,354,356,356,358,362,363,365,367,372,374,376,379,382,384,386,388,391,392,394,396,397,397,400,401,405,409,412,415,422,426,430,436,440,446,449,454,458,462,466,470,430,436,440,446,449,454,458,462
466,470,566,569,573,577,580,585,590,596,603,608,616,621,628,636,643,650,657,665,668,668,669,668,669,668,668,668,668,669,668,668,668,668,668,668,668,668,668,668,668,668,668,669,669,669,668,668,669,668,668,668,668,669,669,669,668,668,669,668
668,668,553,543,533,523,513,502,492,482,471,462,452,444,434,427,417,411,405,401,397,393,390,387,385,381,381,380,379,379,380,381,381,382,385,387,389,392,394,399,403,409,414,422,429,435,440,446,447,451,457,461,414,422,429,435,440,446,447,451
457,461,531,533,535,540,544,547,552,554,558,560,564,566,567,568,568,568,567,566,564,561,558,555,553,549,546,543,540,536,533,531,529,525,523,521,520,517,516,513,512,510,507,507,505,502,501,501,501,501,502,504,507,507,505,502,501,501,501,501
502,504,570,574,577,580,583,584,586,588,589,590,592,593,593,593,595,596,597,598,601,604,606,608,612,614,617,620,624,627,631,634,640,645,652,660,664,668,668,668,668,669,668,668,668,669,668,668,669,669,668,668,668,668,668,669,668,668,669,669
668,668,669,669,668,669,669,668,669,666,661,653,643,633,624,614,603,592,580,569,558,548,536,525,516,506,495,485,474,461,450,440,428,415,403,394,382,373,361,349,338,326,314,302,290,276,266,254,248,238,229,218,314,302,290,276,266,254,248,238
229,218,125,126,127,129,133,136,144,149,154,161,166,172,180,188,196,204,213,221,231,241,249,259,269,279,289,300,309,320,330,341,353,364,375,386,396,406,415,430,441,452,464,473,483,493,502,512,517,525,532,541,464,473,483,493,502,512,517,525
532,541,660,663,666,668,668,668,668,669,668,668,669,668,668,668,669,668,668,668,668,668,668,668,668,668,668,668,668,668,669,668,668,668,668,668,668,668,669,668,668,668,668,668,668,668,668,668,669,669,668,669,668,668,668,668,668,668,669,669
668,669,668,668,668,669,669,668,668,668,668,668,668,668,668,668,668,668,668,668,668,666,665,664,662,661,658,657,654,653,651,648,644,642,640,637,634,632,628,626,622,620,618,615,613,609,608,606,605,604,602,600,618,615,613,609,608,606,605,604
602,600,570,569,568,567,566,564,561,560,560,560,558,557,557,556,554,554,553,553,553,552,550,550,549,549,547,546,545,545,544,544,542,541,540,541,540,538,537,536,536,535,534,535,535,535,534,534,535,534,534,533,534,535,535,535,534,534,535,534
534,533,526,526,526,526,525,525,524,524,524,525,525,525,524,525,525,525,526,526,526,528,526,525,525,526,525,525,525,525,525,525,524,525,525,525,525,525,525,525,524,524,524,524,524,524,525,525,525,524,524,523,524,524,524,524,525,525,525,524
524,523,524,525,525,525,524,524,524,524,524,525,523,524,524,523,522,522,522,522,522,521,521,521,520,520,518,518,518,518,518,518,519,519,520,520,520,521,521,522,522,522,522,521,520,521,521,521,522,520,520,520,522,521,520,521,521,521,522,520
520,520,521,522,521,522,522,522,522,523,524,524,525,525,526,525,525,524,524,524,524,523,523,522,521,521,521,521,520,520,519,520,518,518,516,514,514,513,512,512,512,512,512,512,512,511,511,511,512,512,512,513,512,512,512,511,511,511,512,512
512,513,519,520,520,520,521,522,522,522,523,523,523,524,524,524,523,523,522,522,522,523,524,524,524,525,525,524,524,524,522,521,521,522,521,522,521,522,522,522,523,523,523,523,522,522,521,521,521,521,520,520,523,523,522,522,521,521,521,521
520,520,521,521,521,521,521,521,521,522,522,522,521,521,522,522,522,522,523,524,523,523,522,523,524,524,524,525,525,525,525,525,524,525,524,524,524,524,523,523,523,524,523,523,522,522,522,522,523,522,522,521,523,523,522,522,522,522,523,522
522,521,519,519,520,518,518,518,519,520,519,520,519,519,518,518,518,518,517,517,518,519,519,518,518,518,517,517,516,517,516,514,516,514,514,516,517,517,518,518,519,519,520,520,521,521,521,521,522,522,522,522,520,520,521,521,521,521,522,522
522,522,523,524,524,523,523,522,522,522,522,522,521,522,522,522,522,523,523,522,523,523,524,524,523,522,522,522,521,521,521,522,522,522,522,522,522,522,523,524,524,524,524,524,524,525,525,525,526,525,525,524,524,524,524,525,525,525,526,525
